題號|題目|選項1|選項2|選項3|選項4|正確答案
65|下列何者屬於 ESG 中的「S」(Social)?|員工健康與安全|董事會獨立性|能源管理系統|股東投票權|1
66|「科學基礎減碳目標」(SBTi)要求的減碳路徑需符合?|巴黎協定之目標|企業自行設定的目標|前一年的獲利增長率|當地環保局的行政命令|1
67|下列哪一個組織負責管理「赤道原則」?|赤道原則協會|聯合國環境署|世界銀行|國際貨幣基金組織|1
68|企業推動永續發展時,首先應進行的程序是?|識別利害關係人與重大性議題|直接捐款給環保團體|印製精美的宣傳冊|解雇高碳排部門員工|1
69|關於「藍色金融」(Blue Finance),主要資助對象為?|海洋保護與永續水資源相關計畫|高空科技研發|沙漠綠化計畫|外太空探索|1
70|什麼是「範疇二」排放?|購買的電力、熱力或蒸汽產生的排放|辦公室垃圾產生的排放|員工出差搭飛機的排放|工廠煙囪直接排出的氣體|1
71|機構投資人如何發揮影響力?|透過行使股東投票權與公司議合|操縱市場價格|要求公司解散|拒絕繳納稅款|1
72|下列何者屬於「綠色存款」的特點?|銀行保證資金用途專用於綠色放款計畫|存款利息一定比一般存款高|不接受小額存款|存款不具備流動性|1
73|關於 11304 試題答案疑義,應於何時提出申請?|113年10月21日至10月22日|隨時皆可|考試當天|取得證照後|1
74|TCFD 建議揭露的「治理」面向,核心在於?|董事會對氣候風險的監督角色|總經理的薪資水平|員工是否有工會|公司的組織架構圖|1
75|所謂「公正轉型」是指在推動淨零過程中應注意?|不遺留任何人,關注受影響勞工與社區|轉型過程必須追求最快速度|不需考慮成本支出|僅關注大企業的轉型|1
76|「永續經濟活動認定指引」目前優先適用的產業不包含?|百貨零售業|製造業|營造業|運輸業|1
77|下列何者是 ESG 數據最常見的來源?|企業自行揭露的永續報告書|政府的報稅資料|PTT 等論壇討論|Google 地圖評論|1
78|11304測驗中,若題目答案標註「凡作答一律給分」,則正確答案記錄為?|0|1|2|3|1
79|關於「永續投資」的趨勢,下列何者正確?|投資人越來越重視財務外的 ESG 風險|永續投資的報酬一定會低於傳統投資|只有大型銀行才能進行永續投資|ESG 只是短期的口號,未來會消失|1
80|企業發布永續報告書後,應尋求何種方式增加可信度?|第三方確信或保證|請明星代言|在報紙刊登廣告|發放贈品|1
81|我國推動「永續發展路徑圖」,主要是為了落實哪一項國際規範?|IFRS 永續揭露準則|京都議定書|蒙特婁公約|巴塞爾協議|1
82|下列何者屬於 ESG 投資中的「主題投資」?|專門投資於可再生能源或水處理的公司|隨機購買排名前 50 的公司|投資於所有不抽菸的公司|購買政府公債|1
83|什麼是「物理風險」(Physical Risk)?|氣候變遷導致的實體災害(如水災)對資產的影響|公司股價暴跌的風險|技術轉型失敗的風險|員工受傷的風險|1
84|關於 1.5°C 的目標,是希望在什麼時候達成?|本世紀末|2030 年|2050 年|下個月|1
85|GRI 準則 2021 版要求組織應揭露其對人類人權的貢獻與影響,這屬於?|通用準則(Universal Standards)|行業準則|議題準則|產品準則|1
86|下列哪種行為屬於「氣候變遷調適」?|加強防洪工程以對應暴雨頻率增加|減少工廠二氧化碳排放|購買碳權|推廣素食|1
87|在 114 年測驗中,若遇到題目答案更正(例如更正為 4),應以何者為準?|官方公告之更正答案|考卷上印的答案|補習班的答案|同學的答案|1
88|ESG 因素對於公司信用的影響主要體現在?|債務償還能力與違約風險評估|員工的滿意度|公司的辦公大樓高度|董事長的學歷|1
89|「永續發展基礎能力測驗」的主要目的是?|協助金融從業人員建立 ESG 基本認知|考取公務員資格|獲得外幣交易執照|證明英文能力|1
90|下列哪一項不是綠色債券的四大核心要素?|投資人的家庭背景|資金用途|專案評估與篩選|管理資金與報告|1
91|企業設定減碳目標時,若包含供應鏈的排放,則稱為?|範疇三目標|範疇一目標|範疇二目標|公司內部目標|1
92|關於「盡職治理申報」,其目的為何?|增加機構投資人對公司營運的透明度|增加政府稅收|讓散戶可以跟單投資|限制公司發放股利|1
93|何謂「綠色通貨膨脹」(Greenflation)?|推動綠色轉型導致原物料短缺與物價上漲|綠色產品價格暴跌|通膨壓力消失|政府印製大量綠色鈔票|1
94|SDGs 目標 12「負責任的消費與生產」與下列何者關係最密切?|循環經濟|國防工業|外太空殖民|虛擬貨幣|1
95|關於 113 年第 4 次永續發展基礎能力測驗,題數共有幾題?|80 題|50 題|100 題|60 題|1
96|TCFD 建議揭露「指標與目標」,主要目的是?|衡量與管理重大氣候相關風險與機會|比較員工的加班時間|決定明年的產品售價|預測各國的氣溫變化|1
97|什麼是「碳中和」?|排出的碳與抵銷的碳相等|完全不排碳|所有能源都來自太陽能|排放量增加但獲利更多|1
98|下列哪種組織目前最積極推動永續金融監管?|金管會|勞動部|內政部|教育部|1
99|「責任銀行原則」(PRB)是由哪個組織發起的?|聯合國環境署金融倡議(UNEP FI)|國際貨幣基金組織|世界貿易組織|綠色和平|1
100|關於 ESG,下列敘述何者有誤?|ESG 代表的是短期的財務績效|ESG 包含環境、社會與公司治理三個維度|ESG 可作為投資風險管理工具|ESG 有助於企業長期永續經營|1
101|關於上市上櫃公司編製永續報告書,下列何者為非?|所有公司均應取得會計師確信|應參考 GRI 準則編製|應於公司網站設立永續發展專區|應於每年六月底前申報|1
102|下列哪一項不是「綠色金融行動方案 3.0」的推動面向?|布局(Deployment)|整合(Integration)|證據(Evidence)|透明(Transparency)|1
103|什麼是「範疇一」溫室氣體排放?|公司擁有的排放源產生的直接排放|購買電力產生的間接排放|員工通勤產生的排放|供應商生產產品產生的排放|1
104|關於「氣候相關財務揭露」(TCFD),其「策略」面向建議揭露內容為何?|組織面臨的短期、中期及長期氣候相關風險與機會|董事會對氣候風險的監督|組織用於評估氣候風險的指標|組織如何識別氣候風險|1
105|下列何者屬於「轉型風險」中的法律風險?|因未遵循氣候相關法規而面臨的訴訟|極端氣候導致工廠淹水|消費者偏好改變導致銷量下滑|低碳技術被新技術取代|1
106|「科學基礎減碳目標倡議」(SBTi)不包含下列哪個組織?|世界貿易組織(WTO)|世界自然基金會(WWF)|碳揭露專案(CDP)|聯合國全球盟約(UNGC)|1
107|關於「赤道原則」(EPs),其適用對象主要為?|金融機構的專案融資案件|個人信用貸款|政府補助金計畫|跨國企業的併購案|1
108|下列何者是「重大性」(Materiality)在永續報告中的意義?|反映組織對經濟、環境及社會產生顯著影響的議題|公司資產負債表的大小|投資人投入資金的多寡|媒體報導的次數|1
109|關於「責任投資原則」(PRI),簽署者承諾將何種因素納入投資分析?|ESG 議題|僅財務報表|僅公司股價|僅股利發放率|1
110|我國「永續發展路徑圖」中,要求全體上市上櫃公司完成「盤查」的年份為何?|2027 年|2025 年|2029 年|2030 年|1
111|下列何者非「綠色債券」之資金用途?|石化能源開發計畫|再生能源發電設備|廢棄物回收處理設施|水資源永續利用|1
112|關於「循環經濟」,下列敘述何者正確?|強調資源的重新利用與再生,減少浪費|就是資源回收再利用的代稱而已|會增加企業的生產成本且無助於獲利|僅適用於製造業|1
113|「永續金融」與「傳統金融」最大的差異在於?|納入環境與社會影響的考量|追求利潤的目標不同|使用的貨幣種類不同|政府不予監管|1
114|下列何者屬於 ESG 中的「S」(社會)維度議題?|人才吸引與留任|能源管理|董事會組成|審計委員會職能|1
115|關於「淨零排放」與「碳中和」的差異,下列何者正確?|淨零排放通常包含所有溫室氣體,碳中和則僅指二氧化碳|兩者完全一樣沒有差異|碳中和要求的減量程度比淨零排放高|淨零排放不需要透過碳抵換|1
116|歐盟「碳邊境調整機制」(CBAM)主要針對進口產品徵收?|碳憑證費用|進口關稅|奢侈稅|加值型營業稅|1
117|下列何者為「金融監督管理委員會」推動永續發展的主要工具?|上市上櫃公司永續發展行動方案|勞動基準法|環境保護法|刑法|1
118|關於「氣候風險」中的「實體風險」,下列何者屬於「急性風險」?|颱風、洪水等極端天氣事件|海平面上升|全球平均氣溫長期升高|永凍土融化|1
119|企業進行 ESG 揭露時,若只報喜不報憂,最容易被指控為?|漂綠(Greenwashing)|資訊透明|企業社會責任|誠信經營|1
120|下列何者是 SASB 準則與 GRI 準則的主要區別?|SASB 側重於對財務有重大影響的 ESG 議題|GRI 僅適用於上市公司|SASB 僅適用於環境議題|GRI 由美國政府制定|1
121|關於「永續連結債券」(SLB),其核心特點為何?|債券條款(如利率)與發行人是否達成預設的 ESG 目標掛鉤|募集資金必須專款專用於綠色計畫|不需向投資人報告執行進度|僅能由政府發行|1
122|下列何者為聯合國 17 項永續發展目標(SDGs)之一?|消除飢餓|增加核武器|擴張領土|減少網際網路使用|1
123|什麼是「責任銀行原則」(PRB)的核心精神?|銀行業務應與 SDGs 及巴黎協定目標相符|銀行應追求最高手續費收入|銀行不應對高污染產業進行任何服務|銀行應由政府直接經營|1
124|我國「氣候變遷因應法」中,碳費徵收後的用途不包含下列哪一項?|發放全民現金紅利|補助溫室氣體減量技術研發|執行氣候變遷調適計畫|推動低碳產業轉型|1
125|關於 TCFD 的「風險管理」面向,企業應揭露內容為何?|如何識別、評估及管理氣候相關風險的流程|董事會的開會次數|員工的離職率|公司的股權結構|1
126|下列何者屬於 ESG 投資策略中的「影響力投資」?|旨在產生可測量的社會及環境影響,並獲得財務回報|僅投資於慈善機構|不考慮任何財務回報的投資|排除菸酒產業的投資|1
127|何謂「情境分析」(Scenario Analysis)?|評估組織在不同未來氣候情境下的韌性|分析競爭對手的財務報表|預測下週的股票市場走勢|評估員工的滿意度|1
128|關於「自然相關財務揭露」(TNFD),其主要關注什麼議題?|生物多樣性損失與自然生態受損對財務的影響|天然氣價格波動|自然災害的保險理賠|農產品的貿易量|1
129|企業在計算「碳足跡」時,通常參考哪一個國際標準?|ISO 14064|ISO 9001|ISO 45001|ISO 27001|1
130|下列何者是「綠色貸款」與一般貸款最大的不同?|資金用途須限定於環境改善或綠色相關專案|還款期限必須超過十年|貸款利率必須為零|不需提供擔保品|1
131|SDGs 目標 13「氣候行動」的主要內容為何?|採取緊急措施應對氣候變遷及其影響|推廣太陽能發電|減少海洋污染|保護森林資源|1
132|關於「盡職治理守則」,其對機構投資人的期望不包含?|僅追求短期價差收益|關注被投資公司的 ESG 表現|行使投票權|定期揭露盡職治理履行情形|1
133|下列何種行為屬於「氣候變遷減緩」?|安裝太陽能板減少溫室氣體排放|加高堤防防止淹水|開發耐旱品種農作物|遷離海平面上升影響區域|1
134|「內部碳定價」的 shadow price(影子價格)是指?|在財務分析中虛擬的一筆碳排放成本|實際交給政府的碳費價格|在黑市交易碳權的價格|碳權的歷史最低價格|1
135|關於 11304 測驗,「凡作答一律給分」的處理方式,在 App 題庫中應如何設定?|將正確答案欄位設為 0 以供程式判斷|隨機選一個答案|刪除該題目|將四個選項都改成正確答案|1
136|GRI 300 系列準則主要涵蓋哪一類議題?|環境議題|經濟議題|社會議題|行業特定議題|1
137|下列何者非「永續金融」的利害關係人?|被投資公司|投資人|主管機關|與該產業完全無關的外星人|1
138|什麼是「資產所有者」(Asset Owners)?|如勞退基金、保險公司等擁有大量資金的機構|一般的散戶投資人|房地產中介|銀行櫃檯人員|1
139|關於「公正轉型」(Just Transition),其重點在於?|保障在綠色轉型過程中受影響勞工的權益|轉型速度越快越公正|不需考慮成本轉嫁問題|只針對大型企業進行補貼|1
140|「格拉斯哥淨零金融聯盟」(GFANZ)的核心承諾是?|在 2050 年前實現投融資組合的淨零排放|提供發展中國家無息貸款|強制所有銀行合併|取消所有信用卡業務|1
141|下列何者屬於 ESG 中的「G」(治理)範疇?|商業道德與反貪腐|社區關係|用水管理|廢棄物處理|1
142|企業推動「循環經濟」時,「Rethink」是指?|重新思考產品設計與商業模式以減少浪費|重新考慮是否要關閉工廠|思考如何增加廣告支出|考慮更換董事長|1
143|關於「碳抵換」(Carbon Offsetting),下列敘述何者正確?|是透過購買外部碳權來補償自身的排放量|是目前最優先的減碳方式|可以直接取代自身的減碳努力|不需經過第三方驗證|1
144|我國「上市上櫃公司永續發展實務守則」中,建議設置什麼委員會?|永續發展委員會|美食委員會|旅遊委員會|籃球委員會|1
145|下列何者屬於「物理風險」中的慢性風險?|長期氣溫上升導致農作物產量下降|強烈颱風破壞電塔|突發性大洪水|龍捲風襲擊|1
146|什麼是「漂綠」的主要負面影響?|誤導投資人並破壞市場對永續產品的信任|讓公司股價上漲太快|增加公司的綠化支出|讓政府徵收到更多稅|1
147|關於「社會責任投資」(SRI),其起源主要與什麼有關?|宗教與倫理道德對特定產業的排斥|政府的強制作為|為了追求比傳統投資更高的風險|科技進步的需求|1
148|下列哪一項不是 114 年測驗會出現的 11304 題目?|114年測驗會整合歷屆試題,11304題目仍具參考價值|11304 已經過期不再參考|11304 只有 50 題|11304 沒有正確答案|1
149|企業在編製永續報告書時,應如何決定揭露的優先順序?|透過重大性分析識別關鍵議題|由董事長個人喜好決定|參考新聞報導的次數|看哪個議題的圖片比較好找|1
150|下列何者為「碳中和」宣告的必要條件?|排放量減量後,餘量透過碳權抵銷至零|排放量必須絕對為零|不需要經過任何驗證|只需在公司官網宣稱即可|1
151|關於「責任投資原則」(PRI)的執行情形,簽署者需要?|每年提交執行報告並由 PRI 評分|不需提交任何報告|由各國政府進行審核|將所有客戶資料公開|1
152|下列何者屬於 ESG 投資中的「參與及議合」?|與被投資公司管理層溝通以推動 ESG 改善|買入股票後立刻賣出|在網路上批評公司|僅在股東會上領取贈品|1
153|什麼是「擱淺資產」(Stranded Assets)?|因環境或政策變動而失去價值的資產(如煤礦)|遺失在海上的貨物|被法院凍結的銀行存款|員工意外遺留的個人財物|1
154|關於 1.5°C 目標,這是哪一個國際公約的核心目標?|巴黎協定|維也納公約|拉姆薩公約|華盛頓公約|1
155|GRI 準則中的「通用準則」,所有組織都必須使用,其編號為?|GRI 1, 2, 3|GRI 101, 102, 103|GRI 200 系列|GRI 400 系列|1
156|下列哪種行為不符合「永續發展」的定義?|耗盡當前資源而不考慮後代子孫需求|發展經濟的同時保護環境|促進社會公平正義|提高能源使用效率|1
157|在 114 年測驗中,若遇到題目答案標註「更正為 4」,這代表?|原始答案有誤,應以更正後的 4 為準|考生可以隨機選一個答案|這題不計分|這題有兩個正確答案|1
158|ESG 因素如何影響企業的借貸成本?|ESG 表現佳的公司通常能獲得較低的貸款利率|ESG 表現好的公司利息更高|沒有任何影響|銀行不看 ESG 數據|1
159|「永續發展基礎能力測驗」是為了因應哪種人才需求?|ESG 與永續金融專業人才|程式開發人才|法律訴訟人才|醫護人才|1
160|下列哪一項是「社會責任債券」的潛在社會目標?|減輕失業問題|開發昂貴的化妝品|資助職棒球團|建設私人高爾夫球場|1
161|企業設定「內部碳定價」的 shadow price(影子價格)主要目的為何?|測試專案在未來碳成本下的獲利能力|向員工收取碳費|作為逃漏稅的工具|應付政府的行政檢查|1
162|關於「盡職治理守則」的「議合」方式,不包含下列哪一項?|威脅公司如果不改就進行駭客攻擊|與公司高層會面|發出正式信函表達意見|在股東會提出議案|1
163|何謂「綠色溢價」(Green Premium)?|選用低碳技術比選用傳統高碳技術多出的成本|綠色產品的促銷折扣|政府給予的綠色補助|買綠色股票賺到的錢|1
164|SDGs 目標 14「保育海洋生態」主要針對?|保護及永續利用海洋資源|保護陸地上的河川|減少工廠的用水量|推廣水產養殖業|1
165|關於 113 年第 4 次測驗(11304)的題數,正確為?|80 題|100 題|50 題|40 題|1
166|TCFD 建議揭露「指標與目標」中,應包含哪一項?|溫室氣體排放量(範疇一、二及相關三)|員工的平均年資|董事長的個人碳足跡|辦公大樓的建築成本|1
167|什麼是「碳匯」(Carbon Sink)?|能儲存二氧化碳的天然或人工倉庫(如森林、海洋)|排碳量很高的工廠|交易碳權的場所|記錄碳排放的帳本|1
168|下列哪種組織負責推動台灣的「綠色金融行動方案」?|金融監督管理委員會|內政部警政署|農業部|交通部|1
169|「責任投資原則」(PRI)是由誰發起的?|聯合國|世界銀行|歐洲聯盟|美國聯準會|1
170|關於 ESG,下列哪一項敘述是正確的?|ESG 數據有助於投資人評估公司的長期風險|ESG 只是公關活動,與獲利無關|只有環境(E)才是重要的|ESG 評級越高,股價就一定會漲|1
171|下列何者屬於「永續經濟活動」中的「轉型活動」?|目前尚無低碳替代技術,但碳排已屬同業最低者|太陽能發電|完全停止排碳的工廠|植樹造林|1
172|「雙重重大性」(Double Materiality)是指要同時考慮?|對組織財務的影響與對環境社會的影響|環境與社會|財務與法律|公司治理與員工關係|1
173|關於「赤道原則」中的第 7 原則「獨立審查」,是指?|由外部獨立顧問審查專案的環境社會文件|由公司老闆自己審查|由政府官員審查|由銀行櫃檯人員審查|1
174|什麼是「範圍三」排放中最常見的項目?|委外運輸與物流及供應鏈排放|公司車輛排煙|購買電力產生的排放|辦公室燈泡耗電|1
175|TCFD 架構中,哪一個要素是整個架構的核心?|治理|策略|風險管理|指標與目標|1
176|下列何者是 SASB 準則的特點?|針對 77 個行業別訂定不同的揭露指標|適用於全球所有政府機構|只關注社會議題|由歐盟制定並推廣|1
177|「內部碳定價」中的「內部碳費」通常如何運作?|對公司內部各部門排碳收取費用並專款用於減碳計畫|向客戶額外收取的稅金|發給員工的獎金|繳交給環保署的罰款|1
178|關於「自然相關財務揭露」(TNFD)的 LEAP 評估流程,L 是指?|定位(Locate)與自然的互動|學習(Learn)生態知識|法律(Legal)合規|績效(Leverage)提升|1
179|我國上市上櫃公司編製之永續報告書,必須經過何種程序方可上傳至公開資訊觀測站?|董事會通過|經全體股東簽名|經市長核准|不需任何程序直接上傳|1
180|下列何者不是 TCFD 建議揭露的氣候相關「機會」?|資產因淹水毀損|資源效率提升|能源來源轉型|新產品與服務開發|1
181|關於「永續連結貸款」(SLL),若借款人未達成預設的 ESG KPI,通常會?|利率調升|直接被宣告違約|必須立刻還清餘額|銀行沒收擔保品|1
182|ESG 中的「S」(社會)面向,對於供應鏈管理的要求通常包含?|禁止強迫勞動與童工|要求供應商降低售價|要求供應商增加加班時間|要求供應商只使用紙本報價|1
183|「碳邊境調整機制」(CBAM)主要是在防止什麼問題?|碳洩漏(Carbon Leakage)|空氣污染|全球暖化|資源浪費|1
184|下列哪一項屬於「綠色債券」的透明度要求?|定期發布資金用途與環境效益報告|不需向投資人說明資金去向|只要在發行時說明白即可|僅向政府機關報告|1
